Headlines,Time,Description
Cramer Remix: The secret behind the Trump rally," 7:26  PM ET Mon, 21 Nov 2016",Jim Cramer revealed a different FANG in the post-election stock market rally.
Cramer fires back at Apple analysts 'making a big mistake'," 7:13  PM ET Mon, 21 Nov 2016","Jim Cramer highlights analysts who don't know the difference between an expensive stock, and one that has run."
,,
Randgold CEO says gold is ready to go higher," 7:12  PM ET Mon, 21 Nov 2016","Jim Cramer spoke with Randgold Resources' CEO, who explained the implications of the presidential election on the price of gold."
"Cramer detects hot cash flooding the market to benefit FANG, Apple and oil"," 7:11  PM ET Mon, 21 Nov 2016","Jim Cramer senses there are more legs to the Trump rally, thanks to new money flooding in."
Cramer's lightning round: This pharma stock is nothing but a giant headache," 7:16  PM ET Fri, 18 Nov 2016","Jim Cramer rattles off his take on caller favorite stocks, including this pharma stock that has him reaching for aspirin."
"Cramer Remix: Here it is, the worst quarter of 2016"," 7:07  PM ET Fri, 18 Nov 2016","Jim Cramer has seen winners and losers, but this stock takes the cake as the ugliest of the year."
Cramer breaks down the retailers for Black Friday — one winner proves the mall isn’t dead," 7:09  PM ET Fri, 18 Nov 2016","Jim Cramer goes down his playbook of retailers hanging on by a thread, and discovered one winner of the mall."
Cramer's 2 reasons why Trump could save Apple billions," 7:09  PM ET Fri, 18 Nov 2016",Jim Cramer is salivating over the opportunity that a Donald Trump White House could bring Apple.
,,
Cramer's game plan: Mitt Romney could send the market through the roof," 2:11  PM ET Sat, 19 Nov 2016",Jim Cramer shares his list of events and stocks on his radar next week.
"Cramer's lightning round: OPEC meeting could be a bust, but here's why fossil fuels will rally"," 2:52  PM ET Fri, 18 Nov 2016",Jim Cramer goes through the lightning round of callers and provides his opinion on various stocks at rapid speed.
Cramer Remix: Why the bank stocks are here to stay,"10:15  AM ET Fri, 18 Nov 2016",Jim Cramer explained the reason he thinks the move in banks could last.
Clinton backer Benioff says he sees a 'great future' despite Trump win," 7:03  PM ET Thu, 17 Nov 2016","Jim Cramer spoke with Salesforce CEO Marc Benioff on election results, and the future of America."
Jim Cramer inducts a new CEO into his 'wall of fame'," 6:53  PM ET Thu, 17 Nov 2016",Jim Cramer celebrates one CEO that has made the right moves for shareholders to make money.
Cramer spells out why Donald Trump has removed the 'gloom' on Wall Street," 6:52  PM ET Thu, 17 Nov 2016","Jim Cramer compares Trump's election to the moves of Ronald Reagan and Alan Greenspan, and thinks the optimism is here to stay."
"Markets float near new highs, but retail investors may not want to get too excited"," 5:44  PM ET Thu, 17 Nov 2016","December is traditionally a bullish month, but are we setting ourselves up for a disappointment? Is it all too far too fast?"
Cramer's list of stock opportunities thrown away amid the big market rotation," 7:22  PM ET Wed, 16 Nov 2016",Jim Cramer provides his opinion on various caller stocks in the lightning round.
Cramer Remix: The premier stock to own in the Trump White House," 7:19  PM ET Wed, 16 Nov 2016",Jim Cramer revealed the hottest industrial stock on his radar to own following Donald Trump's election win.
"Cramer on small business: Trump has a big change coming, and no one is talking about it"," 7:05  PM ET Wed, 16 Nov 2016",Jim Cramer explains why small cap stocks were stifled under President Obama.
Cramer throws a red flag on prison and gun stocks," 6:45  PM ET Wed, 16 Nov 2016",Jim Cramer warns not to follow the crowd when it comes to prison and gun stocks.
"Cramer says 'lurking buyers' propped up stocks like Disney, NVIDIA and Starbucks"," 6:45  PM ET Wed, 16 Nov 2016",Jim Cramer uncovers why buyers are snapping up big names following the election of Donald Trump.
Cramer Remix: Michael Phelps holds the key to understanding the market," 7:24  PM ET Tue, 15 Nov 2016",Jim Cramer examined the strongest tides pulling on the post-election market.
Why Jim Cramer says Buffalo Wild Wings will have better days post-election," 7:21  PM ET Tue, 15 Nov 2016","Jim Cramer rattles off his take on caller favorite stocks, including his prediction if Buffalo Wild Wings can fly higher."
,,
Cramer: What changed Warren Buffett's mind about the airlines," 7:29  PM ET Tue, 15 Nov 2016","Jim Cramer takes a hard look at the airline industry, and issues one reminder for investors looking at Warren Buffett’s recent moves."
Cramer: Massive collapse in natural gas showing signs of bottoming," 6:48  PM ET Tue, 15 Nov 2016",Jim Cramer goes off the charts to figure out what direction the price of natural gas is headed in.
Cramer thinks this was the most bullish day yet for the Trump rally," 6:48  PM ET Tue, 15 Nov 2016",Jim Cramer navigates the Trump rally by providing an analysis of the power that bonds have for growth and inflation.
"Cramer warns to stay on the sidelines for this group, thanks to Trump"," 7:14  PM ET Mon, 14 Nov 2016","Jim Cramer goes through the lightning round of callers, and warns to stay away from one sector for the time being."
Cramer Remix: Apple's vulnerability under Trump," 5:52  AM ET Tue, 15 Nov 2016",Jim Cramer discussed how Trump and China could converge on Apple.
Cramer uncovers what is really ailing CVS Health," 6:40  PM ET Mon, 14 Nov 2016","Jim Cramer got to the bottom of why CVS’s stock has dropped so quickly, and why he's got it in the penalty box."
,,
Harman International CEO says Samsung’s big deal is ‘dynamite’," 6:40  PM ET Mon, 14 Nov 2016","Jim Cramer spoke with Harman CEO Dinesh Paliwal on Samsung's acquisition, and the future of the company."
Cramer: 'I smell a trade war'," 6:39  PM ET Mon, 14 Nov 2016","Jim Cramer braced investors for the other side of the Trump rally, as many digest the losing side to the trade."
Cramer Remix: What the market is telling us about Trump's presidency," 7:38  PM ET Fri, 11 Nov 2016",Jim Cramer advised investors to have a watchful eye on the bond market throughout President-elect Donald Trump’s presidency.
Cramer explains why drug stocks are being sacrificed to the cyclical plays," 1:34  PM ET Mon, 14 Nov 2016",Jim Cramer goes through a lightning round of callers and quickly gives his take on various caller stocks.
Cramer answers the burning question of why FANG was crushed this week," 7:00  PM ET Fri, 11 Nov 2016",Jim Cramer got to the bottom of why FANG stocks rapidly sold off this week and what it means for the future.
Cramer's 'best growth' oil play to benefit from Trump deregulation," 7:20  PM ET Fri, 11 Nov 2016",Jim Cramer highlights one play in the oil patch that could benefit from Donald Trump's presidency.
Cramer’s game plan: How to think like Trump in next week’s massive stock rotation," 6:46  PM ET Fri, 11 Nov 2016",Jim Cramer lists the signs from Donald Trump he will be watching for that could impact how stocks perform next week.
Cramer explains why investors are in love with Tesla," 7:41  PM ET Thu, 10 Nov 2016","Jim Cramer quickly gave his opinion on various caller stocks, including an explanation on the love of Tesla."
Cramer Remix: Why pre-election panic cost you opportunities," 5:49  AM ET Fri, 11 Nov 2016",Jim Cramer explained why election night hysteria could have made you miss out on a big rally.
Starbucks CEO Schultz digs into the answer to hiring veterans," 6:56  PM ET Thu, 10 Nov 2016",Jim Cramer spoke with Starbucks CEO Howard Schultz on its unique approach to hiring veterans.
Johnson & Johnson CEO explains why America should hire more veterans in business," 6:56  PM ET Thu, 10 Nov 2016",Jim Cramer spoke with retired Army captain Alex Gorsky on why Johnson & Johnson hires veterans.
Cramer warns the rally is ‘getting out of hand’ — better deals found in the trash," 6:56  PM ET Thu, 10 Nov 2016",Jim Cramer was suspicious of the velocity of money flooding stocks on Thursday.
Here's the new trading mentality sweeping Wall Street," 1:34  PM ET Thu, 10 Nov 2016",Traders are repositioning to prepare for less regulation and higher rates.
Cramer Remix: The drug stock that's 'downright toxic' for your portfolio," 7:39  PM ET Wed,  9 Nov 2016",Jim Cramer issued a warning about one drug stock that could leave a portfolio feeling ill.
,,
Cramer highlights the CEO that knows how to make money in any situation," 7:17  PM ET Wed,  9 Nov 2016",Jim Cramer rattles off his opinion on caller favorite stocks in the lightning round.
Chipotle exec sheds light on conversations with billionaire Bill Ackman," 7:12  PM ET Wed,  9 Nov 2016","Jim Cramer spoke with Chipotle CFO Jack Hartung, who commented on recent discussions with activist investor Bill Ackman."
Cramer turns bullish on drug stocks with Trump in the White House," 6:37  PM ET Wed,  9 Nov 2016","Jim Cramer reflects on the stunning victory of Donald Trump, and how it will impact the stocks that lead the charge in the market."
Cramer explains the puzzling Trump rally in plain English," 6:37  PM ET Wed,  9 Nov 2016",Jim Cramer broke down buyers into eight groups and explained their motivations for buying stocks.
Explaining the post-election market rally," 7:54  PM ET Wed,  9 Nov 2016","Trump's conciliatory victory speech that focused on fiscal spending helped to buoy market sentiment, says Barclays' Keith Parker."
Cramer's advice for Trump's victory: 2 stocks that could get crushed to smithereens," 2:00  PM ET Wed,  9 Nov 2016",Jim Cramer earlier this week advised investors to be prepared for a Donald Trump surprise victory.
,,
Cramer picks the best retailers coming out of the election," 7:34  PM ET Tue,  8 Nov 2016","Jim Cramer gives his opinion in the Lightning Round, including one retailer that could gain strength out of the election."
Cramer Remix: Your post-election stock market playbook," 8:17  PM ET Tue,  8 Nov 2016","Jim Cramer found the bull markets that will continue working, even after the election"
Cramer finds the one investable common ground that Clinton & Trump agree on," 8:10  PM ET Tue,  8 Nov 2016","Jim Cramer discovered the one topic that the presidential candidates agree on, despite appearances."
Cramer's charts predict a post-election rally — but buyers beware," 8:09  PM ET Tue,  8 Nov 2016",Jim Cramer goes off the charts with the help of Bob Lang.
From Watergate to WW II: Jim Cramer puts the history of politics and stocks on the table," 8:08  PM ET Tue,  8 Nov 2016",Jim Cramer goes back to major events in history that shook the stock market.
Cramer reveals an incredible stock phenomenon he’s seen every year for the past 35 years," 7:01  PM ET Mon,  7 Nov 2016",Jim Cramer points to one trusted phenomenon that always happens after a sell-off.
Cramer Remix: What to buy after the election,"10:24  PM ET Mon,  7 Nov 2016",Jim Cramer shared where to position money ahead of the inauguration.
Cramer turns sour on this stock after it pushed back $1 billion in business," 6:50  PM ET Mon,  7 Nov 2016","Jim Cramer quickly provides his opinion on various caller stocks, including his take on First Solar's recent quarter."
Cramer: The market doesn't love Hillary Clinton — here's where money is flowing," 6:52  PM ET Mon,  7 Nov 2016",Jim Cramer says investors love certainty more than Hillary Clinton and breaks down the winners of earnings season.
Here's why you may want to 'fade the Clinton rally'," 1:03  PM ET Mon,  7 Nov 2016",Wall Street is weighing whether markets will keep climbing if Hillary Clinton is elected president.
"Cramer sees a major shift in retail, consumer economy"," 6:35  PM ET Fri,  4 Nov 2016","""Mad Money"" Host Jim Cramer sees a major shift in the economy that is going to make investors think twice about which retail stocks to buy and sell."
Take-Two Interactive CEO on innovation and the future of video game industry," 7:12  PM ET Thu,  3 Nov 2016","Strauss Zelnick, CEO of Take-Two Interactive, joins ""Mad Money"" host Jim Cramer to discuss Take-Two's quarter and the future of the industry."
"Clorox CEO Benno Dorer talks earnings, growth and ad spending"," 6:53  PM ET Wed,  2 Nov 2016","Benno Dorer, Clorox's chairman and CEO, tells ""Mad Money"" Host Jim Cramer he feels good about the business one quarter into the fiscal year."
Here's why the market is acting like a Fed rate hike is finally coming," 4:17  PM ET Wed,  2 Nov 2016","In many ways, it looks like the markets have already done the Fed's work for them."
,,
Cramer digs into Apple's chart to see where the stock is going next," 7:02  PM ET Tue,  1 Nov 2016","Apple's charts, Jim Cramer says, gives investors a glimpse into how long and how bad the tech giant's decline could be."
Nervous November start: This is why traders are miserable right now," 4:13  PM ET Tue,  1 Nov 2016","November is typically the best time for stocks, so what's holding back the market's gains right now?"
Newell Brands CEO on how the company plans to grow both its legacy and new brands," 2:19  PM ET Tue,  1 Nov 2016",Jim Cramer is joined by Newell Brands CEO Michael Polk to discuss the long-term vision of the company.
Boo! What’s scaring markets this Halloween?," 2:58  AM ET Mon, 31 Oct 2016","As Halloween looms, CNBC’s Geoff Cutmore, Karen Tso and Steve Sedgwick look at what’s rattling market sentiment: Oil, sterling or the S&P 500?
"
Cramer: The only healthcare stock that's still up," 7:26  PM ET Fri, 28 Oct 2016","Jim Cramer rattles off his take on caller favorite stocks, including this healthcare stock standing alone in a tough cohort."
Cramer Remix: General Electric could be making a colossal mistake," 8:03  PM ET Fri, 28 Oct 2016",Jim Cramer issued a warning for investors of the industrial powerhouse.
,,
"Cramer: Amazon's Bezos won't cut off his nose to spite his face, or please Wall Street"," 7:00  PM ET Fri, 28 Oct 2016","Jim Cramer took a look under the hood of Amazon, and explained what really freaked out investors."
Cramer: The drug wholesale price war has officially begun — steer clear," 7:29  PM ET Fri, 28 Oct 2016","Jim Cramer addressed the stunning decline in McKesson, and got to the bottom of what triggered the sudden fall in the stock."
Cramer's game plan: Why the selling tsunami will spill into Monday," 6:48  PM ET Fri, 28 Oct 2016",Jim Cramer shares the events and stocks he will be watching next week after a brutal day on the market Friday.
Stock buyback binge running out of steam?," 2:34  PM ET Fri, 28 Oct 2016","Google parent Alphabet just announced a $7 billion buyback this week, but buybacks overall have been declining this year."
Cramer's charitable trust just hit the jackpot on this stock," 7:21  PM ET Thu, 27 Oct 2016","Jim Cramer goes through the lightning round of stocks and says his charitable trust hit the jackpot, thanks to one semiconductor."
Cramer Remix: Two things to make Twitter more attractive to buyers," 7:52  PM ET Thu, 27 Oct 2016","Jim Cramer gave his take on Twitter after earnings, and focused on what the company has to fix in order to attract potential suitors."
Groupon CEO says the LivingSocial acquisition was 'non-material' to business," 9:04  PM ET Thu, 27 Oct 2016",Jim Cramer spoke with Groupon's CEO Rich Williams on whether the company's acquisition of LivingSocial affects the bottom line.
"Cramer discovers a massive rotation of money, primed to explode stocks higher"," 6:54  PM ET Thu, 27 Oct 2016","Jim Cramer shares the signals he sees that sleepy sectors are finally waking up, and could be ready to fly higher."
Cramer: Amazon's two dreaded words that sunk the stock," 6:53  PM ET Thu, 27 Oct 2016","Jim Cramer reviews the expectations of Amazon, Alphabet and Twitter to find the driving force behind the stocks."
Cramer: This sector will bounce back after the election," 7:28  PM ET Wed, 26 Oct 2016","Jim Cramer expects one group to return after the election, and provides his take on various caller stocks in the lightning round."
Cramer Remix: Who is right and wrong when it comes to Apple," 7:49  PM ET Wed, 26 Oct 2016",Jim Cramer explained why he has had it with the Apple analysts.
Cramer 'stunned' by analysts' lack of respect for Apple CEO Tim Cook," 6:49  PM ET Wed, 26 Oct 2016",Jim Cramer was shocked by the lack of respect shown to Apple CEO Tim Cook by analysts on the company's conference call.
Norfolk Southern CEO reveals the secret to making money with cargoes down," 6:50  PM ET Wed, 26 Oct 2016",Jim Cramer spoke with Norfolk Southern CEO Jim Squires on his innovative way to continue making money with cargoes on the decline.
Cramer: The secret sauce behind earnings season success this quarter," 7:35  PM ET Wed, 26 Oct 2016",Jim Cramer unveils a bizarre pattern that is driving the stocks that rally this earnings season.
,,
ZTO Express: What to expect from the biggest IPO of the year," 2:13  PM ET Wed, 26 Oct 2016","The biggest IPO of the year prices Wednesday night, and it's essentially the UPS of China."
Why Cramer is not holding or selling Yum Brands," 7:23  PM ET Tue, 25 Oct 2016","Jim Cramer goes through his lightning round of caller stocks, including what he sees ahead for Yum Brands after its split."
Cramer Remix: Regulators won't play by the rules for AT&T and Time Warner," 7:43  PM ET Tue, 25 Oct 2016","Jim Cramer broke down his thoughts on the current M&A market environment, and how regulators will react."
Legendary technician tells Cramer why Costco is on the verge of a significant rally," 7:05  PM ET Tue, 25 Oct 2016","Jim Cramer goes off the charts with Larry Williams, who discovered an unusual connection between Costco and the dollar index."
Cramer's memo to CEOs doing deals: Stop listening to your advisors! You're being fooled," 6:53  PM ET Tue, 25 Oct 2016",Jim Cramer lays down the hammer to CEOs of companies trying to merge and says it's time to stop doing big deals.
Cramer bites into Apple: Wall Street still ignoring the most important part of earnings," 6:43  PM ET Tue, 25 Oct 2016",Jim Cramer provided his take on Apple earnings following a quarter that was widely viewed as disappointing.
,,
Cramer: Humanization of pets is the great story of all time," 6:32  AM ET Wed, 26 Oct 2016",Jim Cramer takes on the lightning round by giving his opinion on various caller favorite stocks.
Cramer Remix: Win-win deal overshadowed by AT&T and Time Warner," 7:44  PM ET Mon, 24 Oct 2016",Jim Cramer pointed out how the possible NXP Semiconductors and Qualcomm merger could be huge.
Why Jim Cramer says the hottest theme on Wall Street is your selfie stick," 7:01  PM ET Mon, 24 Oct 2016",Jim Cramer says the pressure for people to always look their best is driving one of the best themes on Wall Street.
Cramer warns you not to buy AT&T or Time Warner," 6:58  PM ET Mon, 24 Oct 2016","Jim Cramer says the deal of AT&T and Time Warner smells of desperation, not growth."
Cramer: The battle of three stock markets controlling your money," 6:55  PM ET Mon, 24 Oct 2016",Jim Cramer witnessed a battle of three different stock markets in charge on Monday.
Cramer's game plan: Watch earnings and potential deals," 7:00  PM ET Fri, 21 Oct 2016","All the talk of takeover deals shouldn't detract from the biggest earnings week of the year, Jim Cramer of ""Mad Money"" said.
"
"Thanks to the Nordic American disaster, Cramer's not recommending this group anymore"," 7:32  PM ET Thu, 20 Oct 2016","Jim Cramer quickly provided his opinion on various stocks, including this one that left a sour taste from cutting the dividend."
Cramer Remix: Investors underestimate Washington's impact on business," 7:36  PM ET Thu, 20 Oct 2016",Jim Cramer broke down his thoughts on the election’s impact on stocks and how investors should adjust their portfolios.
Herman Miller wants to improve productivity with redesign of its famous Aeron chair," 7:36  PM ET Thu, 20 Oct 2016",Jim Cramer spoke with the CEO of Herman Miller on how it wants to make office life more productive and comfortable.
Cramer fears Donald Trump is your worst investing nightmare," 7:07  PM ET Thu, 20 Oct 2016","Jim Cramer says if Donald Trump does not accept the vote in November, it could be a major blow to the averages."
Jim Cramer warns that if you treat stocks like politics—you'll be eviscerated," 7:06  PM ET Thu, 20 Oct 2016",Jim Cramer outlines the vast differences in strategy when it comes to dealing with politics and the stock market.
Are industrials the Achilles' heel for earnings?," 2:06  PM ET Thu, 20 Oct 2016","Now that earnings season is here, are third-quarter revenue estimates too high?"
"Cramer: Move over H&R Block, this tax play is taking the world by storm"," 7:10  PM ET Wed, 19 Oct 2016","Jim Cramer shares his opinion in various caller stocks, including the new king of the tax world."
Cramer Remix: Signs that big money is preparing for Democratic domination," 7:34  PM ET Wed, 19 Oct 2016",Jim Cramer analyzed how the potential for a Democratic sweep could impact the most fragile parts of the market.
,,
Cramer: United Continental to become the 'go-to' name for money managers," 7:09  PM ET Wed, 19 Oct 2016",Jim Cramer says airlines didn't rally because of good earnings. There was a much different reason behind it.
Cramer changes his tune on RR Donnelley: 'I can't get too enthusiastic'," 7:08  PM ET Wed, 19 Oct 2016","Jim Cramer was thrilled when RR Donnelley announced it would break up. Now that it has, he's not thrilled anymore."
Cramer: Worried about your money under a Democratic landslide? You should be," 7:06  PM ET Wed, 19 Oct 2016",Jim Cramer is seeing signals that money managers are preparing for a Democratic landslide. He outlines what it could mean for stocks.
"It's early, but here's why you should be optimistic about earnings"," 3:17  PM ET Wed, 19 Oct 2016",We could finally be seeing the tide turn in earnings as S&P 500 estimates have turned positive.
Cramer Remix: Why Amazon is the greatest home story of all time," 7:20  PM ET Tue, 18 Oct 2016",Jim Cramer highlighted how Amazon has changed the way consumers shop.
"Cramer: This CEO just crushed it, a stock worth owning"," 1:15  PM ET Wed, 19 Oct 2016","Jim Cramer rattles off his take on caller favorite stocks, including professing his approval for Tech Data."
,,
"Cramer: Charts show grains, meats & metals will lead commodities higher"," 6:57  PM ET Tue, 18 Oct 2016",Jim Cramer got a solid read of the charts for commodities from Carley Garner that show a new leader bringing the group higher.
Cramer: McCormick the ultimate 'at home' economy play with plenty of spice," 6:56  PM ET Tue, 18 Oct 2016","Jim Cramer highlighted McCormick as the ultimate play for consumers who like to stay home, regardless of these analyst concerns."
Cramer: Apple is powering the explosion of Netflix & Domino's Pizza," 6:54  PM ET Tue, 18 Oct 2016",Jim Cramer highlights the domination of the 'at home' economy that is fueling stocks higher.
Is the negative US earnings streak over?," 6:53  PM ET Tue, 18 Oct 2016","Despite market consensus, earnings this quarter will be flat to slightly positive, says Erik Ristuben, CIO at Russell Investments."
How Norway is helping stocks climb around the world," 3:21  PM ET Tue, 18 Oct 2016","The Norwegian government is considering taking a bigger bet on stocks, which could be a big deal for global equities."
Cramer: How to bank on Visa fresh off the CEO news," 7:19  PM ET Mon, 17 Oct 2016","Jim Cramer goes through the lightning round of stocks, including where to go with Visa with news of the CEO's resignation."
Cramer Remix: The video game space is on fire. Here's how to play it,"10:27  PM ET Mon, 17 Oct 2016",Jim Cramer plugged into the video game space and discovered red-hot stocks for investors to play.
Cramer: The real reason bank stocks cannot rally," 7:23  PM ET Mon, 17 Oct 2016","Jim Cramer outlined the action in the bank stocks, and why they haven't been able to catch a break lately."
Former rocket scientist turned Girl Scouts CEO wants to teach girls to code," 7:21  PM ET Mon, 17 Oct 2016",Jim Cramer spoke with interim CEO of Girl Scouts on the importance that the role of technology plays in girl's lives.
Cramer: Americans believe the future will be worse than the past," 7:20  PM ET Mon, 17 Oct 2016",Jim Cramer focused on politics as being the culprit pulling down the averages. 
Cramer Remix: Fed's Fischer could take down stocks next week," 6:59  PM ET Fri, 14 Oct 2016",Jim Cramer explained how Federal Reserve Vice Chairman Stanley Fischer’s upcoming speech could impact the market.
How BroadbandTV CEO's childhood in Iran turned into a lifelong media passion,"12:14  AM ET Sat, 15 Oct 2016",Jim Cramer spoke with BroadbandTV's founder Shahrzad Rafati on how her background created a passion for storytelling.
Cramer: Theranos news sparked the rally for this stock," 6:51  PM ET Fri, 14 Oct 2016","Jim Cramer gave his take on various caller favorite stocks, including one diagnostics company that is on the rise from Theranos news."
Cramer: Enough is enough! Disney & Twilio are portfolio torture," 6:55  PM ET Fri, 14 Oct 2016",Jim Cramer has hit his limit. He officially deems both old and junior growth stocks losers.
,,
"Cramer's game plan: What to expect from McDonald's, GE, the Fed & more next week"," 6:53  PM ET Fri, 14 Oct 2016",Jim Cramer shares the stocks and events on his radar next week.
Why banks failed to rally despite the earnings beats," 3:10  PM ET Fri, 14 Oct 2016","Banks have kicked off earnings season with a bang, but why did the initial pop lose steam?"
Cramer: The right way to play master limited partnerships," 7:32  PM ET Thu, 13 Oct 2016","Jim Cramer rattles off his take on caller favorite stocks, including master limited partnerships like Kinder Morgan."
Cramer Remix: Samsung will slam this red-hot group," 7:39  PM ET Thu, 13 Oct 2016",Jim Cramer broke down how Samsung’s fiery phones could hurt another hot technology group.
Ulta Beauty CEO wants to double market share," 7:37  PM ET Thu, 13 Oct 2016","Jim Cramer spoke with Ulta Beauty CEO Mary Dillon, who shared plans for stronger growth ahead following a surge in the stock."
Cramer: Chinese exports just stuck a knife into the heart of the stock market," 7:34  PM ET Thu, 13 Oct 2016","Jim Cramer outlined the ramifications that a weak Chinese exports number could have for earnings, especially industrials."
,,
Honeywell CEO Cote admits 'I was wrong' for not giving a better 2017 outlook," 6:42  PM ET Thu, 13 Oct 2016","Jim Cramer spoke with Honeywell's CEO Dave Cote, who admits he should have portrayed a brighter outlook for the company."
Cramer Remix: Rules to live by when the market goes mad," 7:03  PM ET Wed, 12 Oct 2016",Jim Cramer offered his handy tips on how to handle the market no matter what is thrown your way.
Cramer reveals the No. 1 reason he outperformed the market as a money manager," 6:57  PM ET Wed, 12 Oct 2016","Jim Cramer uncovered the importance that cash plays in a portfolio, and why he considers it the most underrated investment on Wall Street."
Cramer: The crucial difference between trading and investing," 6:55  PM ET Wed, 12 Oct 2016",Jim Cramer clarifies the major difference between an investment and a quick trade. 
Cramer: My rules to bail out when things go wrong (it will happen!)," 6:54  PM ET Wed, 12 Oct 2016",Jim Cramer shared his methodology of being prepared when a trade goes wrong.
Cramer: How to play Alibaba in an erratic market," 7:35  PM ET Tue, 11 Oct 2016","Jim Cramer quickly shares his opinion on various caller favorite stocks, including where to pull the trigger on Alibaba."
Cramer Remix: Why tech can give you the most bang for your buck," 9:28  PM ET Tue, 11 Oct 2016",Jim Cramer explained the silver lining of the market going into earnings season.
Lyft co-founder John Zimmer tells Cramer 'Lyft is not for sale'," 7:48  PM ET Tue, 11 Oct 2016","Jim Cramer spoke with Lyft's co-founder on the independence of the company, and the future of car ownership in the next decade."
Cramer: Charts reveal the real culprit taking down the entire stock market," 7:17  PM ET Tue, 11 Oct 2016",Jim Cramer went off the charts to take a look under the hood of the stock market.
Cramer: Drug stocks are dangerous until after the election. Here's why," 9:26  PM ET Tue, 11 Oct 2016",Jim Cramer says uncertainty surrounding a Democratic win for the White House puts drug stocks in the danger zone.
"Cramer Remix: If your stock’s too darn hot, it could be time to sell"," 7:02  PM ET Mon, 10 Oct 2016","Jim Cramer educates investors on the signals to watch for that indicate that a stock is overheated, and it's time to sell."
Cramer: Your most underutilized tool — know when to sell a hot stock," 7:14  PM ET Mon, 10 Oct 2016","Jim Cramer teaches investors to look for the signs that a stock has become overbought, and how to avoid getting burned."
Cramer's lesson on core position trading: Small profits that add up over time," 6:43  PM ET Mon, 10 Oct 2016",Jim Cramer shares his top technique to combat volatility and profit in the stock market over time.
Cramer: This explosive combination means a stock is ready to skyrocket," 7:11  PM ET Mon, 10 Oct 2016",Jim Cramer shares his techniques to determine when a stock is flashing signals for a raging buy.
,,
Cramer's stock picking methods: Finding the best entry point," 6:58  PM ET Mon, 10 Oct 2016","Jim Cramer reveals his methodology behind picking stocks, and determining the best entry point."
"Earnings season is here, but are revenue estimates too high?"," 4:36  PM ET Mon, 10 Oct 2016","Now that earnings season is here, are third-quarter revenue estimates too high?"
Cramer Remix: Next week could define the rest of the year," 7:23  PM ET Fri,  7 Oct 2016",Jim Cramer looked ahead as earnings season gets underway.
"Cramer: Wall Street won't sponsor this stock, but don't give up on it"," 1:23  PM ET Tue, 11 Oct 2016","Jim Cramer provides his opinion on various caller favorite stocks, including one stock with no sponsorship from Wall Street."
Bank of America CEO says housing has more room to run," 7:29  PM ET Fri,  7 Oct 2016","Jim Cramer spoke with Bank of America CEO Brian Moynihan, who says there is more room for growth in housing."
BofA CEO Moynihan says he's not banking on higher interest rates," 7:51  PM ET Fri,  7 Oct 2016","Jim Cramer spoke with Bank of America CEO Brian Moynihan, who said the company won't need higher rates to grow."
,,
Cramer's game plan: Big money isn't ready for what's coming next week," 7:29  PM ET Fri,  7 Oct 2016",Jim Cramer reveals the stocks and events he will be watching next week.
Cramer: Fastest growing gold stock in the world," 8:19  PM ET Thu,  6 Oct 2016",Jim Cramer backs buying more of one gold stock that has failed to deliver the last few quarters.
Cramer Remix: Why Apple's stock price is still too low," 4:34  PM ET Mon, 10 Oct 2016",Jim Cramer explained why he thinks Apple has more room to run.
"Cramer: Rare, powerful thrust sending stocks much higher"," 7:24  PM ET Thu,  6 Oct 2016",Jim Cramer noted a rare combination of events occurring in the market that sent stocks dramatically higher.
Fitbit CEO reveals he’s transforming the mission and purpose of the company," 7:41  PM ET Thu,  6 Oct 2016","Jim Cramer spoke with Fitbit's CEO James Park, who highlighted the transformation of focus for the company."
Cramer: Salesforce may have called off talks with Twitter because of LinkedIn," 7:26  PM ET Thu,  6 Oct 2016",Jim Cramer provides background on why Salesforce may have cooled on a possible acquisition of Twitter.
IPO market: From dead to frothy in two weeks?," 5:23  PM ET Thu,  6 Oct 2016","After a sluggish first half, recent IPO moonshots spark hope for the listings business."
Breaking down the stock market's new leadership,"12:59  PM ET Thu,  6 Oct 2016","After a few sector rotations this year, new leaders are taking charge of the rally."
Cramer explains why he's now bullish on natural gas," 8:04  PM ET Wed,  5 Oct 2016",Jim Cramer shares his new take on liquefied natural gas in the lightning round.
Cramer Remix: What the pop in Wells Fargo means for the market," 7:52  PM ET Wed,  5 Oct 2016","Jim Cramer deciphered why Wells Fargo was up, and how the broader market reacted."
Fed should have raised rates earlier in year: Strategist," 9:37  PM ET Wed,  5 Oct 2016","U.S. economic data looked better earlier in the year, but markets are ready to absorb a hike in November or December, says Tradewise Advisors' strategist Tom White."
Billionaire Chris Sacca warns of Donald Trump's 'smoke and mirrors' wealth," 7:14  PM ET Wed,  5 Oct 2016","Jim Cramer spoke with venture capitalist Chris Sacca, who explained why he is wary of Donald Trump's wealth."
"Cramer: Oil, innovation and 'animal spirits' are driving stocks"," 6:48  PM ET Wed,  5 Oct 2016","Jim Cramer explains what ""animal spirits"" of the market are, and a rare occurrence that drove stocks higher."
"Salesforce CEO Benioff says Twitter has 'severe challenges,' wishes Dorsey well"," 6:14  AM ET Thu,  6 Oct 2016",Jim Cramer spoke with Salesforce CEO Marc Benioff on a potential bid for Twitter.
,,
